author,comment
@AhmadMaulana-hb2xv,Siuuuuuuuuuuuuu❤❤❤❤❤
@lahxen,Angelo is what Ronaldo needed in the team
@Joy-wo1bt,Siuuuuuuuuu
@idin98-dg6gx,Gue kira joselu masih di Madrid😊
@freethug7,Angelo is just amazing❤
@AJぷしゅ,アンジェロ上手すぎ
@ijal6969,angelo the new cristiano's partner
@irfanhakim3939,SIUUUUUUU❤🎉
@alem7135,That al nasr kit is sooo clean
@maskholis5426,Biasanya gugur 8 besar
@maharshibhunia6783,1:58 Great block tho😮
@raleimusic3719,GOAT 7
@mdchunnuislam2115,"Cr,,,❤❤❤"
@A4Ahmad_1,Thanks for 250 subscribers ❤❤🎉🎉
@Yoelsaputra08,Goo 1000 gol
@juniorpurab1445,913 goals
@Shadow-w9o,Keep it up Ronaldo 🎉
@averageateverything,Now that he has won a game  expect to lose or draw in the next 2 matches  brace yourselves Cr7 cry babies 😂🍼
@aesthetic_young_girl27,"Diffrent time, diff. Age Same great player. same energy level, same looks (he's still handsome like back) he nailed CR7 legend, goat, king of football"
@Sayaindon,Joselu is better than mbappe
@Dkaadi,CR7 GOaT 🐐
@Gondes10x7,Ronaldo well
@anggaprawira,Joselu mengingatkan real Madrid
@DenMarkovkin,Рико играть начал? молодец...
@KongSophea-d4i,🩵🩵
@francescopiatek9200,SIIUUUUUU
@GivendjiTeribofficiel,Goat 🥶🥶
@rizkyAgam29,"Ronaldo plays in the football MAFIA'S DEN .
They like diving and are often assisted by referees.
Qatar , Bahrain, Oman , arab ???
Lucky Ronaldo still won"
@RCTruckDriver,Goesto 1000
@eblgaming8398,❤❤❤
@juandavidcanasrestrepo6491,Que hps golazos los 3 🔥
@user-tl5so8mx3z,Ronaldo is such a beast 💀
@Atarashi16,Cr7 : idola❤
@hkmalik6339,Alnassar player with best player from Europe with under 30 yrs that's why
@abbdhdhbd,"Siuuuuu 💪😈🐐❤ RONALDO is my idol ❤❤❤❤ love you RONALDO ❤❤❤ 
Messi fan cry more 😂😂😂😂😂"
@PurkinjeSaladin,Angelo is soooo underrated
@banyakpikiran5270,goat cr7
@ericmwape6867,Cr7 the great
@Ezekiel.O.O.Omolayo,The kit resemble that of real Madrid 2012
@1AngryPanda,"You can tell what you want, but Adidas use shadow marketing on Ronaldos whole career.
80% of his career he played in Adidas kits… 😂😂😂😂"
@siulapwa,Target 1000 Siiii!!
@mdsamimmolla1510,3:13
@cynox217,"Its so funny that whenever there is a ronaldo match, messi fans gathers to watch him.😂"
@gslim223,The difference between Ronaldo and Holjund is the IQ Ronaldo has to find for best position to score. Every time Ronaldo scores is not coincidence that he is at that spot but he run to that !! Stop saying age matters in football or need the team to feed him with balls. He is a very high IQ person.
@BronzyEgames,Is this the match that Me. Beast attended😮
@SardorMamatov-f3c,What is the name of the speaker?
@widodoaris,Duet Ragnar dan Marcelono emang bagus..
@ussyaigberadion7880,GOAT could have easily notched in 5 goals in this game..
@VyNguyen-jt5iu,Siuuuu
@oluwanisholaparis1068,"I feel Al nassr should change to a white jersey 
Just watch the ways his on foam it reminds him of Madrid days😢
I love you Christiano 7"
@zaksom9146,CR7 will never retire but maybe quit and leave.. he is the  GOAT pls don't compare a fake media made Messi..
@ParelPahlevi,Decul : SIIIIIUUUUUUUuuuu
@massevi6178,tonaldo sekarang sudah tua
@contohsatu6538,"Ronaldo 2 goal, Joselu 1 Goal, WHAT THE DAY 🥰"
@siviunative5241,"MESSI IS THE GOAT, CR7 IS THE CAMEL"
@AbiyouArkan03-gt5tc,Hello Cristiano Ronaldo
@esthersalvador9740,CRISTIANO RONALDO THE BEST OF THE WORLD 🌎
@donn-a4053,SIIIUUUUU!!! 🔥
@epicr1ffzx,The Goat!...
@ryu06ron14,Cr7 still on fire🔥♨️💯⚽
@chzbrlyngdh5817,All the best CR 💯
@NazmuL_Bhaiyaa_7,2:10  And 3:00 ❤
@Joel-u1o,El comandante La Madre
@aryanbhayong8524,Goat legend ❤️⚽🔥💪
@CassaGOAT,CR7 > Peeeeessi 😂
@ТургунСталбекуулу,👍👍❤️❤️❤️👀
@MohammadAjul,"CR7 paket lengkap The best idolaku
Sampai detik ini belum ada pemain sepak bola yg talentanya sama seperti CR7. Dia punya bnyk idola bahkan di seluruh dunia
Love love from indonesia❤❤❤"
@AveragE_Student969,*that* *2nd* *goal* *is* *a* *poem* 🔥🔥🔥
@robertbrandt4711,My Goat ❤❤❤
@umarsaidcrew,This match showed two former striker from real madrid in different year
@rudrabasnet6988,🐐❤️🇳🇵🇵🇹Cr7
@youtubeshorts957,Ronaldo happy==World happy
@AndresMessi1010,Angelo is underrated
@valdurewildensjean6668,CR7 the GOAT🐐🔥
@marcelsansalone3829,thats my goat
@faturrahman3809,"Cristiano and joselu 💪
Bayern nightmare"
@MUNEEBKHAN-m4d,Goat do it 1000😊
@Ronisaputra298,❌ Al Gharafa 1-3 Al Nassr ✅
@MUNEEBKHAN-m4d,Goat do it 1000😊
@MUNEEBKHAN-m4d,Goat do it 1000😊
@guydangerous5238,New hairstyle looks like noodles 💀
@Awais_CR7,Always remember that CR7 is the best of the football history!! Siuuuuuuu7 ❤ GOAT🐐🇵🇹
@cyclingtourpassion,😆 lower divisional club teams
@opaxomff7079,Suiii 🔥
@DipeshMukhiya-j4x,Suuuuu
@Maianborkharpran,No one can stop
@opaxomff7079,CR7 💀🤫👑✅🇵🇹
@opaxomff7079,Foever CR7 THE real GOAT 🐐 👑
@abdu3446,My GOAT happy 🥹❤️‍🩹
@SuryahardaniSurya,Ronaldo tiada dua
@aaditayabbb5337,suiiii
@20gully,that's a very nice uniform from Al Nassr
@Alisah-Bui,"Tap in again :)))) - No, classical"
@MdNazmulIslam-h3m,Afc champions league famous for cr7
@ridwanhardiana4426,Siiuuuuu 🗣️ legend 🔥🔥🔥
@Shn93554,GOAT never stop Scoring Goal..Suii
@foto6002,Siuuuuuuuuuuuuuuuuuuuuuuu!🎉🎉🎉
@afnabdh,Still on fire on 39🔥🔥🔥
@MaremaChhangte-kp5xv,Cr7 fans is all time.🎉😊
@AhmedRiaj-d6o,CR7 ❤
@Piupiu-o6g,Siuuuu😊
@venkatyadavvenkatyadav6395,💎💎💎
@BLACKSTA361,"Ia no one gonna talk about Angelos amazing performance on here? If he can keep this up everyone will benifit. Himself, Ronaldo, the whole Team

Great Performance by Ronaldo as usual🔥🔥"
@smuleindonesia9501,👍🏻
@elrisuhendra5644,udah tua aja masih setajam itu  co
@naksu2024,When Rolnaldo Hair Grow...Unstoppable
@thuptenwangdi8397,What would his career be without penanlty snd tap in ?
@AbahDariYaman,MLS > ACL 😂
@angelescastillo6839,Siuuuu
@MrAbdullah-j4n,Alnassr C R 7
@Muhiman-7,Siuuuuuuuuuuu vamossssss CR7 ❤❤
@untoldexplorer7680,Cr7 header strick is always deadly
@SwastikGhoshal,Cr7 enjoy ing the game like a boy
@utkarshpatwari9318,1000 goals incoming. Only CR7 fans are allowed to like and comment ❤.
@Yangbenerrcntil122,Yang mana suporter arab yang mana suporter Qatar?sama semua muka mereka soalnya
@refugioherrera1436,"Los pases a CR7 tienen que ser muy Finos muy precisos tienes que ser muy bueno para asistir al Mejor del Mundo al GOAT, CR7"
@Pynshaitynsong,Why cr 7 is khe king headers
@Mambamentality86542,Ronaldo show who is the GOAT when pessilesbians come see Al-Nassr games🐐🐐🐐🐐🐐🐐
@aikojatursunxodjaev924,Ronaldo🔥🔥🔥
@MarciaUhrin,Lets go Ronaldo!!!!!!!!!!!!!!
@Guitagra113,There is many players in the world with worldcup but there is only one player with top most goal scorer his name is Ronaldo 🐐
@LenggeDaat,Goat number 1
@alirafahe8585,"How many goals has Messi scored?


(no hate btw)"
@hotshorts_id,3:14 goat again
@NafihMuhammad-d8t,O:54 his hairs was looking like the time at madrid
@hotshorts_id,GOAT 2:25
@pedrojorge3347,Greatest of all time... no one comes close!! Incredible!!
@Muhammed12350,Suiiiii❤❤❤
@아름다워-m3m,챔스의 신~~!!!
@chessteo3588,Siuuuuuuuuuu❤
@MrHN01,Mantap penaldooooo
@Djoe-K3r,class is permanent 💪🦵🔥
@BenzBlog-q6l,Siuuuuuu... The Goat
@muhammadpaisalfaqih,goattttt yang asli yang ada unta nya😅
@actor__vijay__official,GOAT🐐NALDO🤗🤍THE REAL GOAT⚡
@Felixgaha,Siuuu 🐐
@BAR1X_SIU7,Siuuuuu😊
@punkrockneverdie,"🙏💰ขอบคุณครับผม🌹💎
💪💵💍♥️🎊🎉🎊👑🌹"
@morbius9186,1:58 that's saudi defense 💥💀
@sayfrahman3497,If this league is soo easy why are non of the other top European transfers doing CR7 numbers. The league is tougher than it looks and CR7 is the Goat
@AshishBISTA-qf3my,3:16 the defender looked like ashely chole
@AbdulHoque-x1d,Goat Ronldo 🐐🐐
@Xyrro7-z7b,Win us AFC ronaldo and my life is yours
@MuhammadIbrahim-cv6bt,😎CR7
@ayaangull00,Ronaldo ❤ is goat
@Pranav-n5z,"913 🔥
just 87 more ⚡"
@SubhamPradhan22,Ronaldo switches to Goat Mode when its about Champions league 🔥
@Alc-broken77,Cr7
@VIDE0692,It's like he doesn't age
@demarcodaniel,Men watch Cristiano happy. Men happy
@blacklucky7140,Angelo
@NuhusT,His finishing skill still superbb
@aguspriyanto6535,sIUUUUU
@holovoyagers6732,R🔥O🔥N🔥☄️A☄️🔥L🔥D🔥O
@ronxander,3:10 even the GOAT himself felt a little shy about his Siuu
@joshuanich06,The GOAT in Football!!🔥🔥
@akbarchanell9705,Where are you Rodri😅
@rishipediafanclub,The GREATEST OF ALL TIME CR7 ❤
@laurorosa913,Mas é ruim esse algo garrafa😂😂
@Rdx-h5g,He is a alien👽📡👽
@SHanajAhmed-y1b,The goat is back 💀☠️
@Evvia_09,the goat doing goat things 🐐🔥
@_keichala9844,913 🐐
@urbankeyz,Goat ❤
@mazuiazuia3111,GOAT🎉
@galih1986,CR7 + LM10 = R9
@bangryo2528,arabian futbol club Hub
@exchelyalika8405,"More, and more and more ❤❤ Ronaldo🎉🎉"
@nightmaretactical6663,GOATnaldo
@bang_fi,Goat Ronaldo👽💥
@UmangaGAME,If Ronaldo didn't miss one chance Ronaldo could do hat trick ❤
@DjwonderJarkata,Whenever Ronaldo is happy am happy😊
@РамазанДжамалов-я7ч,Я радуюсь когда он забивает
@FootballPositifInd,Ronaldo ❤
@Ojosasy,Arab League Amateur League! Very rich but an amateur league! :))))
@tarzohosilas-m1p,Angelo ❤
@GamerGod4Eva,The kit is giving 2011-12 RM!
@bibinssuseelan8572,Goat❤
@brendonmorina6626,CRISTIANO RONALDO 7 THEE KING ⚽😍
@ZafarKhan-yj1ps,"Football is controlling from satelite. 
Goes 
Against 
Muslims."
@ZafarKhan-yj1ps,Football is controlling from satelite
@Newmenged,"Christiano is an exemplary athlete, who has authentic character for sport. His passion and hunger to play is never getting minimized.
Because of him, we are watching the Asian champion league and the Saudi league as well. Long Live Star 🙏🏻"
@akbarlibero5164,Ronaldo & Joselu 🤍🤍
@ONE4ALL929,Watching Ronaldo in white jersey feels like watching him in Real Madrid
@scopers1785,The greatest player of the century 🎉
@ashfakoceansky1853,Mr. Champions League ❤
@Fathimarusiya,Siuuuuu
@naufaldegea,Go Cr7 go to 1000 goals
@Burnz247,At this rate he needs more goals to react to on his YouTube channel 😂
@SandiSaputra-z2q,CR7 GOAT😍
@anhHuynguyen-b4z,Siu ❤❤❤❤
@azimhusman3884,That cutback was filthy 😭
@MAN_OF_GOD.,The greatest ever to play the game. CR7 🐐
@nancytorres1098,"Excelelente resumen del partido, soy tu nueva suscriptota, GOA7 SIEMPRE GOA7, VAMOS MI COMANDANTE ❤"
@BOTOJK,Baju putih emang cocok buat ronaldo..
@hasifhairuddin1145,still breaking ankles in his 40
@TdS07-x8y,Fl.Coman ( Mbappe del Rumenia ) vs CR7 :)
@JordyBoyMadeIt,Clearly penaldo is stoppable...he was stopped quite a lot of times 🤣
@JemAbraham-w6y,Anjelo super great al love it
@fredikdlani9091,Siiuuuuuu
@quyetdo2001,💛💛💛💛💛💛💛💛💛💛💛💛💛
@zaq402,nice shirt al nassr🎉 sssiiuuuu
@wawansetiawan5048,👏👏
@jorgerafaelcallejoflores67,Belleza vivir en la época del comandante
@Thefortune11,Cr 7❤❤❤❤❤
@rafeeqmannayilrafeeqmannay385,Cr7💕
@mctapoutos7426,WHO DEFACK CARES
@AjayRajpoot-f8d,Cr7 is the ultimate warrior
@saberkhan8763,King
@MrPoppyplants,Wow wasn’t aware that Joselu already sold to Qatar club. He was the reason RM went to CL finals
@LALURAFSARAFIANSYAHARYADI,menghibur😊😊❤
@kaiz2750,Goat
@Kawsar_x_cr7,Boss Cristiano Ronaldo suuuuuuu 😊❤️‍🩹😊
